alors	then
au	to
aucuns	some
aussi	as
autre	another
avant	front
avec	to
avoir	be
bon	good
car	for
ce	this
cela	that
ces	these
ceux	people
chaque	each
ci	one
comme	as
comment	how
dans	in
des	the
du	the
dedans	inside
dehors	out
depuis	since
devrait	should
doit	must
donc	therefore
dos	back
début	early
elle	it
elles	they
en	as
encore	yet
essai	test
est	is
et	and
eu	had
fait	been
faites	made
fois	both
font	are
hors	out
ici	here
il	it
ils	they
je juste	I just
la	the
le	the
les	the
leur	their
là	there
ma	my
maintenant	now
mais	but
mes	my
mine	mine
moins	under
mon	my
mot	word
même	even
ni	or
nommés	appointed
notre	our
nous	us
ou	or
où	where
par	from
parce	because
pas	not
peut	can
peu	little
plupart	most
pour	for
pourquoi	why
quand	when
que	that
quel	what
quelle	what
quelles	what
quels	what
qui	that
sa	's
sans	not
ses	his
seulement	only
si	if
sien	his
son	his
sont	are
sous	in
soyez sujet	are about
sur	on
ta	your
tandis	while
tellement	so
tels	like
tes	your
ton	tone
tous	all
tout	just
trop	too
très	much
tu	you
voient	see
vont	are
votre	your
vous	you
vu	seen
ça	that
étaient	were
état	state
étions	had
été	been
être	be
