merde	shit
putain	fuck
va te faire foutre	fuck you
va te faire enculer	go fuck yourself
branleur	wanker
fils de pute	son of a bitch
crétin	cretin
imbécile	fool
t'as pas de couilles	you ain't got the balls
connard	asshole
salope	bitch/slut
connasse	c#!t
dégénéré	inbred
tu me gonfles	you're pissing me off
tu me fatigues	you're annoying me
dégage !	piss off!
je m'en fiche	I don't care
je m'en fou	I don't give a shit
j'en ai rien à cirer	I couldn't give a fuck
j'en ai plus rien à foutre	I couldn't give a flying fuck
j'en ai marre	I'm fed up
j'en ai ral le bol	I'm really fed up
j'en ai ral le cul	I'm so fucking fed up
t'es un salaud	you're a bastard
ça schlingue!	that stinks!
ça pue	that smells bad
tais-toi	be quiet
ta gueule	shut up
ferme ta gueule	shut the fuck up
t'es rien qu'un petit connard	you really are an asshole
quel salaud !	what a bastard!
bordel de merde	oh fuck
la vache	oh crap
nom de Dieu	oh my god
mon Dieu	my god
